latitude,longitude,altitude,geometry,_id,title,location_name,sentiment_score,topic_index
36.65,117.04,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,山东中医药大学,0.9872,3
30.275,118.136,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,黄山,0.9872,3
29.997,100.268,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,理塘,0.9872,3
30.654,104.074,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,四川,0.9872,3
30.052,101.96,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,甘孜藏族自治州,0.9872,3
25.049,102.709,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,云南,0.9872,3
36.686,117.047,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,大山路,0.9872,3
36.624,116.899,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,稻城亚丁,0.9872,3
36.624,116.899,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,稻城亚丁景区,0.9872,3
29.04,100.297,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,稻城县,0.9872,3
29.997,100.268,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300113.html,山东男生骑行西藏途经58个城市，沿途宣传家乡,理塘县,0.9872,3
36.65,117.04,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,山东中医药大学,0.991,3
30.275,118.136,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,黄山,0.991,3
29.997,100.268,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,理塘,0.991,3
30.654,104.074,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,四川,0.991,3
30.052,101.96,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,甘孜藏族自治州,0.991,3
25.049,102.709,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,云南,0.991,3
36.686,117.047,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,大山路,0.991,3
36.624,116.899,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,稻城亚丁,0.991,3
36.624,116.899,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,稻城亚丁景区,0.991,3
29.04,100.297,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,稻城县,0.991,3
29.997,100.268,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,理塘县,0.991,3
36.661,117.052,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300027.html,山东男生骑行西藏途经58个城市，沿途举条幅宣传母校和家乡,山东旅游,0.991,3
36.686,116.893,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,海尔智家,-0.0888,2
36.263,117.667,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,海尔,-0.0888,2
23.086,114.378,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,惠城,-0.0888,2
36.619,116.815,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,新能源汽车,-0.0888,2
36.269,116.4,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,巴基斯坦厨电工厂,-0.0888,2
36.714,116.945,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,潍柴动力,-0.0888,2
22.528,113.916,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,南山铝业,-0.0888,2
36.651,117.141,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300022.html,强信心 稳经济 促发展丨鲁股半年报透露哪些信号,中国重汽,-0.0888,2
36.658,116.933,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300021.html,山东：开海“第一鲜”上岸被抢购,开海,0.9462,4
35.863,119.992,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300021.html,山东：开海“第一鲜”上岸被抢购,青岛西海岸新区,0.9462,4
32.31,118.317,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300021.html,山东：开海“第一鲜”上岸被抢购,琅琊港,0.9462,4
36.671,117.014,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300019.html,山东出台省级国有资本经营预算管理办法,省政府办公厅,-0.9912,0
36.632,117.013,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300019.html,山东出台省级国有资本经营预算管理办法,省财政厅,-0.9912,0
36.671,117.014,,Point,http://news.e23.cn/shandong/2023-09-03/2023090300019.html,山东出台省级国有资本经营预算管理办法,省政府,-0.9912,0
36.659,117.264,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,中国科学院,0.992,4
36.7,116.936,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东大学,0.992,4
36.676,117.055,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东大学中泰证券金融研究院,0.992,4
36.107,120.464,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,崂山实验室,0.992,4
36.547,116.828,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东师范大学,0.992,4
36.652,116.923,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,中国麻风防治协会,0.992,4
36.652,116.923,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东省麻风防治协会,0.992,4
36.244,117.723,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,地球科学与技术学院,0.992,4
36.193,117.129,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,泰山,0.992,4
36.657,116.971,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,中国科学院研究生院,0.992,4
36.731,117.035,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,太平洋,0.992,4
36.678,116.967,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东科技大学,0.992,4
35.517,117.609,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,平邑县,0.992,4
36.652,117.114,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,国务院政府,0.992,4
36.68,117.059,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,国务院学位委员会,0.992,4
36.513,118.537,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,临朐,0.992,4
36.651,117.023,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,山东大学材料科学与工程学院,0.992,4
36.667,117.022,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,齐鲁,0.992,4
36.668,117.505,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,科学与工程学院,0.992,4
36.668,117.505,,Point,http://news.e23.cn/shandong/2023-09-02/2023090200041.html,28名山东学者候选“两院”院士，有哪些成就？,中国海洋大学材料科学与工程学院,0.992,4
